mid_date, v [m/yr], satellite, dt (days)
2019-08-14T20:52:44.000Z,403, Sentinel 2, 130 
2017-08-24T08:43:45.000Z,454, Sentinel 2, 165 
2016-08-06T20:42:57.000Z,322, Sentinel 2, 160 
2003-07-31T20:25:35.516Z,191, Landsat 7, 16 
1996-01-01T19:41:15.684Z,167, Landsat 5, 160 
2017-12-17T08:47:20.000Z,297, Sentinel 2, 75 
2019-04-24T08:51:55.000Z,654, Sentinel 2, 95 
2005-04-16T20:20:36.685Z,753, Landsat 7, 64 
2021-06-20T15:48:52.870Z,2020, Sentinel 1, 36 
2018-09-11T08:50:30.000Z,134, Sentinel 2, 5 
2022-10-27T20:55:26.000Z,179, Sentinel 2, 60 
2018-09-16T08:53:19.999Z,286, Sentinel 2, 95 
2009-06-22T20:19:24.217Z,847, Landsat 5, 32 
2018-12-22T20:56:14.000Z,261, Sentinel 2, 100 
2022-05-30T20:50:24.000Z,824, Sentinel 2, 130 
2012-04-04T20:18:51.446Z,344, Landsat 7, 16 
2018-11-30T08:53:45.000Z,272, Sentinel 2, 145 
2019-10-13T08:44:00.000Z,330, Sentinel 2, 55 
2018-08-04T20:50:14.000Z,398, Sentinel 2, 60 
2021-07-04T20:50:21.000Z,1572, Sentinel 2, 60 
2021-10-30T15:48:58.171Z,351, Sentinel 1, 12 
1996-05-01T19:41:11.720Z,417, Landsat 5, 64 
2022-04-28T08:52:20.000Z,901, Sentinel 2, 115 
2018-10-06T08:53:25.000Z,196, Sentinel 2, 5 
2022-04-18T08:50:20.000Z,751, Sentinel 2, 15 
2019-03-17T20:52:26.000Z,397, Sentinel 2, 40 
2003-05-28T20:25:45.717Z,636, Landsat 7, 112 
2003-06-29T20:25:39.750Z,555, Landsat 7, 80 
2013-03-26T08:23:56.910Z,581, Landsat 7, 23 
2019-08-22T08:51:49.999Z,292, Sentinel 2, 85 
2021-12-14T08:52:45.000Z,461, Sentinel 2, 165 
2018-08-26T20:41:29.000Z,258, Sentinel 2, 70 
2017-10-15T20:44:09.000Z,310, Sentinel 2, 40 
2022-06-24T20:50:24.000Z,814, Sentinel 2, 80 
2021-07-31T20:40:19.000Z,868, Sentinel 2, 30 
2018-06-15T08:40:45.000Z,425, Sentinel 2, 165 
2017-10-18T08:44:35.000Z,234, Sentinel 2, 35 
2018-08-06T20:40:19.000Z,390, Sentinel 2, 70 
2020-03-03T20:43:34.000Z,567, Sentinel 2, 60 
2011-07-02T08:23:15.601Z,961, Landsat 5, 39 
2010-04-10T08:26:13.122Z,583, Landsat 7, 41 
2018-08-12T08:50:50.000Z,345, Sentinel 2, 75 
2022-05-30T20:50:31.000Z,870, Sentinel 2, 120 
2018-09-21T08:51:55.000Z,155, Sentinel 2, 35 
2000-02-27T08:20:26.076Z,597, Landsat 7, 89 
2020-11-03T20:46:19.000Z,580, Sentinel 2, 30 
2006-01-04T20:26:45.062Z,256, Landsat 7, 160 
2009-05-26T08:18:14.467Z,939, Landsat 7, 71 
2022-04-08T08:50:25.000Z,785, Sentinel 2, 25 
2018-07-12T20:40:19.000Z,599, Sentinel 2, 20 
2019-02-25T20:54:31.000Z,422, Sentinel 2, 20 
2022-04-20T20:50:19.000Z,860, Sentinel 2, 10 
2022-05-28T08:50:25.000Z,866, Sentinel 2, 125 
2020-10-15T08:54:05.000Z,905, Sentinel 2, 65 
2022-03-26T20:53:50.999Z,790, Sentinel 2, 110 
2022-04-20T08:41:45.000Z,908, Sentinel 2, 85 
2019-03-30T08:50:45.000Z,335, Sentinel 2, 5 
2020-04-23T08:51:35.000Z,907, Sentinel 2, 85 
2021-02-07T08:56:25.000Z,2006, Sentinel 2, 15 
2002-01-27T20:13:26.041Z,695, Landsat 7, 128 
2022-04-08T08:52:45.000Z,856, Sentinel 2, 95 
2009-05-06T20:15:10.758Z,1165, Landsat 7, 32 
2019-09-03T20:51:51.000Z,318, Sentinel 2, 60 
2020-11-11T20:57:16.000Z,647, Sentinel 2, 10 
2011-03-23T20:26:58.737Z,621, Landsat 5, 48 
2020-04-13T08:51:30.000Z,713, Sentinel 2, 65 
2011-03-13T08:21:24.893Z,503, Landsat 7, 25 
2019-03-27T08:42:35.000Z,485, Sentinel 2, 65 
2022-01-22T15:48:54.985Z,560, Sentinel 1, 12 
2009-08-01T20:21:13.917Z,482, Landsat 7, 64 
2018-05-09T08:52:20.000Z,492, Sentinel 2, 145 
2022-04-30T20:51:59.000Z,902, Sentinel 2, 110 
2018-01-31T15:48:30.277Z,185, Sentinel 1, 12 
2022-03-29T08:50:25.000Z,849, Sentinel 2, 5 
1992-09-11T19:53:01.984Z,540, Landsat 5, 64 
2018-05-11T20:50:19.000Z,733, Sentinel 2, 10 
2021-07-14T15:48:54.367Z,907, Sentinel 1, 12 
1985-09-01T19:54:11.311Z,646, Landsat 5, 96 
2019-08-09T20:50:24.000Z,269, Sentinel 2, 60 
2021-05-22T03:02:45.067Z,3199, Sentinel 1, 12 
2019-08-11T20:40:44.000Z,279, Sentinel 2, 70 
2019-04-21T20:51:51.000Z,685, Sentinel 2, 90 
2018-03-15T08:52:20.000Z,286, Sentinel 2, 35 
