mid_date, v [m/yr], satellite, dt (days)
2019-08-08T02:55:09.622Z,1091, Sentinel 1, 48 
2018-12-28T03:02:31.936Z,1204, Sentinel 1, 60 
2020-01-03T15:48:44.192Z,1412, Sentinel 1, 48 
2020-08-26T02:55:17.258Z,2183, Sentinel 1, 24 
2022-07-12T08:50:30.000Z,1837, Sentinel 2, 35 
2019-03-10T08:53:05.000Z,1569, Sentinel 2, 45 
2020-04-10T08:40:20.000Z,1689, Sentinel 2, 15 
2018-08-19T08:40:20.000Z,1079, Sentinel 2, 35 
2021-10-18T15:48:58.261Z,1503, Sentinel 1, 12 
2004-09-12T20:19:43.363Z,1096, Landsat 7, 80 
2019-07-26T03:02:36.623Z,1119, Sentinel 1, 24 
2018-03-09T20:43:34.000Z,1274, Sentinel 2, 70 
2020-08-06T15:48:49.916Z,2565, Sentinel 1, 24 
2021-06-16T02:55:18.978Z,3407, Sentinel 1, 12 
2019-08-13T03:02:37.582Z,1038, Sentinel 1, 36 
2018-04-21T08:40:20.000Z,1570, Sentinel 2, 15 
2019-09-24T03:02:39.318Z,1053, Sentinel 1, 48 
2020-04-17T20:40:49.000Z,1875, Sentinel 2, 50 
2013-04-14T20:26:55.820Z,1348, Landsat 7, 16 
2013-07-11T20:26:23.271Z,1878, Landsat 7, 32 
2017-04-01T20:53:26.000Z,1566, Sentinel 2, 110 
2022-05-22T20:40:24.000Z,2348, Sentinel 2, 80 
2018-07-05T20:50:29.000Z,1445, Sentinel 2, 140 
2019-03-12T20:53:01.000Z,1565, Sentinel 2, 50 
2019-09-21T08:51:45.000Z,1215, Sentinel 2, 25 
2019-11-02T08:46:15.000Z,1220, Sentinel 2, 15 
2022-07-04T20:50:24.000Z,1946, Sentinel 2, 60 
2022-10-07T08:43:20.000Z,859, Sentinel 2, 65 
2019-05-21T20:50:26.000Z,1970, Sentinel 2, 90 
2017-02-24T03:02:17.206Z,1454, Sentinel 1, 36 
2018-11-10T03:02:33.347Z,1107, Sentinel 1, 36 
2019-07-02T03:02:35.158Z,1872, Sentinel 1, 24 
2009-06-06T20:21:21.798Z,2542, Landsat 7, 48 
2019-09-13T08:42:45.000Z,979, Sentinel 2, 75 
1999-06-24T08:05:44.898Z,3106, Landsat 5, 39 
2006-06-26T08:23:58.250Z,1822, Landsat 7, 25 
2021-08-26T08:54:20.000Z,20, Sentinel 2, 545 
2022-05-03T08:50:25.000Z,2383, Sentinel 2, 35 
2022-05-25T20:50:19.000Z,2636, Sentinel 2, 20 
2018-10-03T20:53:06.000Z,1070, Sentinel 2, 50 
2019-06-25T08:40:25.000Z,1624, Sentinel 2, 115 
2018-07-25T20:51:44.000Z,1298, Sentinel 2, 140 
2022-05-27T20:40:19.000Z,2654, Sentinel 2, 10 
2003-04-19T20:19:42.953Z,1858, Landsat 7, 16 
2018-12-27T20:55:11.000Z,1163, Sentinel 2, 120 
2018-11-22T20:54:25.999Z,1084, Sentinel 2, 130 
2019-04-09T03:02:30.990Z,1611, Sentinel 1, 24 
2019-05-04T08:50:25.000Z,1920, Sentinel 2, 65 
2022-03-24T08:51:55.000Z,2234, Sentinel 2, 35 
2009-06-19T08:18:16.533Z,2329, Landsat 7, 23 
2008-04-15T20:26:24.906Z,1828, Landsat 5, 16 
2009-07-21T08:16:47.602Z,1814, Landsat 5, 25 
2020-07-27T02:55:15.634Z,2844, Sentinel 1, 12 
2012-03-31T08:21:56.911Z,2051, Landsat 7, 25 
2019-09-25T02:55:11.658Z,1083, Sentinel 1, 48 
2016-06-17T20:42:03.000Z,1744, Sentinel 2, 60 
2018-07-02T02:55:01.364Z,1548, Sentinel 1, 12 
2019-07-25T20:50:29.000Z,1352, Sentinel 2, 70 
2020-01-15T15:48:43.672Z,1424, Sentinel 1, 24 
2019-03-15T15:48:36.772Z,1566, Sentinel 1, 60 
2006-03-26T20:20:59.982Z,1661, Landsat 7, 48 
2019-01-16T20:53:24.000Z,1241, Sentinel 2, 150 
2017-07-05T15:48:28.954Z,1698, Sentinel 1, 24 
2022-06-19T20:50:24.000Z,2385, Sentinel 2, 30 
2022-05-08T08:50:25.000Z,2444, Sentinel 2, 25 
2020-07-04T20:50:31.000Z,2988, Sentinel 2, 50 
2006-09-01T20:30:45.913Z,1310, Landsat 5, 48 
2000-09-05T08:24:47.389Z,1416, Landsat 7, 55 
2022-07-24T08:40:05.000Z,1640, Sentinel 2, 85 
2021-03-12T02:55:14.730Z,2977, Sentinel 1, 12 
2022-06-23T02:55:25.492Z,2238, Sentinel 1, 12 
2018-09-11T03:02:32.837Z,706, Sentinel 1, 12 
2021-03-09T08:53:45.000Z,3049, Sentinel 2, 75 
2020-02-08T15:48:42.967Z,1547, Sentinel 1, 24 
2000-08-29T08:18:38.412Z,1397, Landsat 7, 41 
2018-12-15T08:56:55.000Z,1154, Sentinel 2, 85 
2019-07-26T03:02:36.643Z,1292, Sentinel 1, 48 
2019-01-01T20:54:36.000Z,1175, Sentinel 2, 130 
2015-06-06T20:36:40.116Z,1869, Landsat 7, 32 
2018-12-09T15:48:38.672Z,1116, Sentinel 1, 12 
2021-08-13T20:50:24.000Z,1719, Sentinel 2, 50 
2019-11-11T03:02:39.792Z,1372, Sentinel 1, 24 
2019-08-08T02:55:09.752Z,1078, Sentinel 1, 24 
2018-11-09T15:48:39.447Z,1177, Sentinel 1, 48 
2018-05-02T03:02:25.431Z,1703, Sentinel 1, 36 
2019-08-12T08:50:30.000Z,1099, Sentinel 2, 15 
2021-02-01T20:46:59.000Z,2791, Sentinel 2, 10 
2000-06-10T08:19:42.480Z,2471, Landsat 7, 55 
2017-06-23T15:48:28.180Z,1763, Sentinel 1, 48 
2018-12-20T08:53:15.000Z,1167, Sentinel 2, 155 
2020-05-04T02:55:10.630Z,1958, Sentinel 1, 12 
2020-03-11T20:54:14.000Z,1607, Sentinel 2, 110 
2018-11-27T15:48:38.970Z,1173, Sentinel 1, 36 
2018-12-22T20:55:46.000Z,1151, Sentinel 2, 110 
2021-02-03T03:02:42.928Z,2652, Sentinel 1, 12 
2019-07-02T20:40:24.000Z,1514, Sentinel 2, 130 
2020-07-26T03:02:43.052Z,2817, Sentinel 1, 12 
2022-04-18T08:52:15.000Z,2279, Sentinel 2, 95 
2019-07-15T20:50:29.000Z,1543, Sentinel 2, 70 
2019-09-06T03:02:38.942Z,912, Sentinel 1, 12 
2018-03-17T08:43:35.000Z,1313, Sentinel 2, 85 
1991-07-03T07:57:10.432Z,1842, Landsat 5, 23 
2018-01-16T08:44:05.000Z,1151, Sentinel 2, 135 
2020-02-09T03:02:36.820Z,1481, Sentinel 1, 36 
2019-07-23T08:50:30.000Z,1112, Sentinel 2, 25 
2019-09-05T20:42:41.000Z,992, Sentinel 2, 90 
2021-04-12T20:39:54.000Z,3434, Sentinel 2, 10 
2005-07-21T20:20:21.012Z,2076, Landsat 7, 32 
2019-03-21T15:48:36.643Z,1628, Sentinel 1, 24 
2019-03-22T03:02:30.632Z,1580, Sentinel 1, 36 
2022-05-15T20:50:31.000Z,2504, Sentinel 2, 30 
2019-02-19T15:48:36.463Z,1533, Sentinel 1, 12 
2018-06-02T02:54:59.677Z,1780, Sentinel 1, 24 
2021-08-26T08:51:10.000Z,1479, Sentinel 2, 55 
2018-06-13T08:50:20.000Z,1719, Sentinel 2, 95 
2022-05-25T08:40:20.000Z,2559, Sentinel 2, 35 
2019-02-05T20:56:38.999Z,1461, Sentinel 2, 10 
2002-02-03T20:19:40.942Z,1925, Landsat 7, 96 
2022-06-04T08:40:25.000Z,2455, Sentinel 2, 55 
2018-04-01T08:40:25.000Z,1329, Sentinel 2, 5 
2018-06-20T08:40:20.000Z,1708, Sentinel 2, 65 
2022-04-20T08:41:45.000Z,2285, Sentinel 2, 85 
2018-05-01T20:50:19.000Z,1750, Sentinel 2, 30 
2018-11-03T15:48:39.236Z,1135, Sentinel 1, 60 
2017-02-07T20:44:11.499Z,1297, Sentinel 2, 150 
2016-05-28T20:43:46.000Z,1823, Sentinel 2, 20 
2021-09-19T03:02:51.597Z,1296, Sentinel 1, 12 
2018-09-16T15:48:39.043Z,830, Sentinel 1, 36 
2019-08-14T08:42:45.000Z,1213, Sentinel 2, 135 
2020-06-29T08:40:20.000Z,2908, Sentinel 2, 35 
2018-10-06T08:53:19.999Z,1047, Sentinel 2, 55 
2018-05-25T15:48:32.863Z,1807, Sentinel 1, 24 
2022-05-30T20:50:19.000Z,2688, Sentinel 2, 10 
2019-09-06T03:02:38.899Z,1030, Sentinel 1, 36 
2017-09-03T20:51:10.999Z,1159, Sentinel 2, 40 
2020-04-30T08:40:20.000Z,2028, Sentinel 2, 55 
2020-05-22T20:40:19.000Z,2358, Sentinel 2, 40 
2021-04-03T15:48:49.063Z,3394, Sentinel 1, 24 
2019-06-20T20:50:29.000Z,1788, Sentinel 2, 80 
2009-05-09T08:24:27.694Z,2644, Landsat 7, 23 
1998-08-15T08:12:30.453Z,1708, Landsat 5, 89 
2019-05-09T03:02:32.215Z,1997, Sentinel 1, 12 
2019-11-30T02:55:11.721Z,1314, Sentinel 1, 36 
2015-08-18T20:30:46.515Z,964, Landsat 7, 32 
2019-12-17T03:02:38.737Z,1289, Sentinel 1, 48 
2018-04-19T08:50:55.000Z,1594, Sentinel 2, 55 
2020-02-03T03:02:36.994Z,1455, Sentinel 1, 24 
2020-10-17T08:44:20.000Z,1753, Sentinel 2, 65 
2018-03-22T02:54:56.410Z,1418, Sentinel 1, 24 
2019-04-26T15:48:37.473Z,1836, Sentinel 1, 24 
2019-03-07T20:53:21.000Z,1563, Sentinel 2, 40 
2020-03-09T15:48:42.806Z,1586, Sentinel 1, 36 
2019-09-07T02:55:11.290Z,939, Sentinel 1, 12 
2005-08-26T08:23:15.655Z,1380, Landsat 7, 39 
1999-07-25T08:11:44.756Z,3236, Landsat 5, 23 
2018-06-18T15:48:34.247Z,1869, Sentinel 1, 24 
2019-08-02T08:50:30.000Z,1114, Sentinel 2, 55 
2018-09-21T08:51:35.000Z,669, Sentinel 2, 5 
2018-05-07T15:48:31.894Z,1778, Sentinel 1, 36 
2000-04-27T20:16:59.584Z,2204, Landsat 7, 32 
2019-10-05T15:48:46.014Z,1002, Sentinel 1, 12 
2022-04-23T08:50:25.000Z,2323, Sentinel 2, 45 
1999-04-16T20:09:40.667Z,1991, Landsat 5, 48 
2022-06-11T02:55:24.830Z,2338, Sentinel 1, 12 
2019-11-10T15:48:45.565Z,1181, Sentinel 1, 60 
2017-12-22T08:46:55.000Z,1176, Sentinel 2, 85 
2001-11-12T08:16:15.521Z,1434, Landsat 7, 39 
1998-07-03T20:02:52.451Z,2386, Landsat 5, 32 
2019-01-02T15:48:37.934Z,1209, Sentinel 1, 60 
2017-10-20T20:44:34.000Z,976, Sentinel 2, 50 
2017-12-10T08:53:10.000Z,1044, Sentinel 2, 155 
2019-08-11T20:40:24.000Z,1029, Sentinel 2, 50 
2003-08-29T08:22:22.922Z,1098, Landsat 7, 73 
2022-03-03T20:44:16.000Z,2094, Sentinel 2, 90 
2018-04-03T20:40:44.000Z,1420, Sentinel 2, 20 
2020-10-14T20:44:11.000Z,1769, Sentinel 2, 60 
2019-10-01T02:55:11.909Z,1008, Sentinel 1, 36 
2018-01-02T03:02:25.060Z,1183, Sentinel 1, 12 
2020-06-13T15:48:46.723Z,2744, Sentinel 1, 12 
2000-05-16T08:26:07.786Z,2298, Landsat 7, 41 
2018-04-16T08:40:45.000Z,1557, Sentinel 2, 45 
2018-05-19T15:48:32.553Z,2041, Sentinel 1, 12 
2019-07-05T20:50:29.000Z,1756, Sentinel 2, 50 
2016-07-03T20:33:31.352Z,1636, Landsat 7, 32 
2018-05-26T03:02:26.747Z,1732, Sentinel 1, 36 
2018-11-27T20:53:01.000Z,1072, Sentinel 2, 160 
2018-02-18T15:48:30.036Z,1119, Sentinel 1, 24 
2022-06-04T20:50:24.000Z,2493, Sentinel 2, 40 
2004-07-02T20:19:55.241Z,1858, Landsat 7, 64 
2020-03-05T02:55:09.098Z,1567, Sentinel 1, 36 
2019-08-30T15:48:44.453Z,1012, Sentinel 1, 60 
2022-05-10T20:50:19.000Z,2514, Sentinel 2, 10 
2001-04-05T20:21:05.620Z,2049, Landsat 7, 32 
2021-06-09T03:02:46.119Z,3401, Sentinel 1, 24 
2019-05-09T03:02:32.246Z,1926, Sentinel 1, 36 
2020-12-13T20:45:44.000Z,1984, Sentinel 2, 110 
1996-07-16T07:48:29.794Z,1373, Landsat 5, 23 
2018-06-07T03:02:27.380Z,1857, Sentinel 1, 12 
2017-12-15T03:02:25.754Z,1277, Sentinel 1, 24 
2022-12-24T15:49:02.140Z,1195, Sentinel 1, 12 
2022-03-29T08:52:15.000Z,2213, Sentinel 2, 55 
1986-07-08T20:00:06.555Z,5511, Landsat 5, 16 
2003-04-27T20:19:41.798Z,1909, Landsat 7, 32 
2018-12-09T15:48:38.528Z,1146, Sentinel 1, 60 
2018-10-22T15:48:39.534Z,1133, Sentinel 1, 36 
2009-05-05T20:21:22.052Z,2491, Landsat 7, 16 
2019-06-30T08:40:25.000Z,1680, Sentinel 2, 85 
2017-08-28T15:48:31.622Z,1224, Sentinel 1, 60 
2021-06-29T08:40:20.000Z,3092, Sentinel 2, 35 
2009-08-09T20:21:13.308Z,1458, Landsat 7, 80 
2019-07-30T08:43:10.000Z,1, Sentinel 2, 545 
2018-08-27T08:51:05.000Z,983, Sentinel 2, 55 
2018-09-04T15:48:38.622Z,837, Sentinel 1, 36 
2018-04-21T08:40:45.000Z,1621, Sentinel 2, 55 
1986-10-22T19:44:04.955Z,2971, Landsat 5, 32 
2019-05-04T02:55:04.296Z,1866, Sentinel 1, 24 
2019-05-16T02:55:04.861Z,1937, Sentinel 1, 48 
2001-10-15T20:13:02.264Z,1440, Landsat 7, 16 
2017-10-21T15:48:32.834Z,945, Sentinel 1, 48 
2019-07-01T15:48:41.083Z,1703, Sentinel 1, 60 
2020-02-21T03:02:36.759Z,1530, Sentinel 1, 36 
2021-09-02T08:40:55.000Z,1152, Sentinel 2, 35 
2017-04-25T03:02:18.718Z,1620, Sentinel 1, 36 
2019-04-19T08:52:30.000Z,1772, Sentinel 2, 105 
2013-04-10T08:30:01.215Z,1246, Landsat 7, 25 
2019-09-03T20:50:24.000Z,973, Sentinel 2, 10 
2021-05-13T08:50:20.000Z,3651, Sentinel 2, 55 
2022-09-17T20:53:41.000Z,993, Sentinel 2, 100 
2002-07-21T20:19:15.616Z,2027, Landsat 7, 16 
2018-03-22T08:44:00.000Z,1361, Sentinel 2, 115 
2021-06-10T02:55:18.619Z,3334, Sentinel 1, 24 
2013-07-27T20:26:16.543Z,1628, Landsat 7, 32 
2022-06-04T08:40:25.000Z,2595, Sentinel 2, 25 
2018-09-24T02:55:05.670Z,910, Sentinel 1, 12 
2019-07-25T15:48:42.553Z,1064, Sentinel 1, 12 
2020-03-27T15:48:42.964Z,1703, Sentinel 1, 24 
2022-06-03T15:48:58.012Z,2684, Sentinel 1, 12 
2018-04-13T15:48:30.710Z,1502, Sentinel 1, 12 
2020-07-06T20:40:21.000Z,3033, Sentinel 2, 20 
2022-07-02T08:50:25.000Z,2030, Sentinel 2, 55 
2020-05-08T08:50:25.000Z,2214, Sentinel 2, 5 
2019-07-20T20:50:29.000Z,1159, Sentinel 2, 20 
2017-12-02T15:48:32.279Z,1148, Sentinel 1, 36 
2019-08-04T20:50:29.000Z,1047, Sentinel 2, 50 
2022-06-27T08:50:25.000Z,2072, Sentinel 2, 65 
