degree,mse_train,r2_train,cross_val_mean_train,cross_val_std_train,mse_test,r2_test,cross_val_mean_test,cross_val_std_test
20,1001422.4635152865,0.9738755727564296,-53871.575289109125,365609.4212869535,10650481.576997938,0.4014777745341034,-661.8821043025584,3327.372369188033
20,1001529.8400557442,0.9738727715903672,-53811.306311340704,365191.04200233525,10644717.622276053,0.40180168993480014,-664.8346660858298,3344.6722864909607
20,1002504.6753153607,0.9738473407519928,-53293.30821865962,361599.4891337402,10596714.95525429,0.40449928279822656,-669.8782446824958,3396.8124639846096
20,1002024.9492454825,0.9738598555190026,-54783.02737853647,372066.5222114034,10676681.66312752,0.40000541539763557,-659.640611314487,3356.2136077186715
20,1000782.4789087735,0.9738922682390047,-55202.32221835496,375056.53623019473,10633215.021130875,0.40244809849259977,-677.0253350828369,3460.615109034698
